InvoiceDate,Country,InvoiceNo,StockCode,Description,CustomerID,Quantity,UnitPrice
2010-12-01T08:26:00Z,United Kingdom,536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,17850,6,2.55
2010-12-01T08:26:00Z,United Kingdom,536365,71053,WHITE METAL LANTERN,17850,6,3.39
2010-12-01T08:26:00Z,United Kingdom,536365,84406B,CREAM CUPID HEARTS COAT HANGER,17850,8,2.75
2010-12-01T08:26:00Z,United Kingdom,536365,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,17850,6,3.39
2010-12-01T08:26:00Z,United Kingdom,536365,84029E,RED WOOLLY HOTTIE WHITE HEART.,17850,6,3.39
2010-12-01T08:26:00Z,United Kingdom,536365,22752,SET 7 BABUSHKA NESTING BOXES,17850,2,7.65
2010-12-01T08:26:00Z,United Kingdom,536365,21730,GLASS STAR FROSTED T-LIGHT HOLDER,17850,6,4.25
2010-12-01T08:28:00Z,United Kingdom,536366,22633,HAND WARMER UNION JACK,17850,6,1.85
2010-12-01T08:28:00Z,United Kingdom,536366,22632,HAND WARMER RED POLKA DOT,17850,6,1.85
2010-12-01T08:34:00Z,United Kingdom,536367,84879,ASSORTED COLOUR BIRD ORNAMENT,13047,32,1.69
2010-12-01T08:34:00Z,United Kingdom,536367,22745,POPPY'S PLAYHOUSE BEDROOM ,13047,6,2.1
2010-12-01T08:34:00Z,United Kingdom,536367,22748,POPPY'S PLAYHOUSE KITCHEN,13047,6,2.1
2010-12-01T08:34:00Z,United Kingdom,536367,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,13047,8,3.75
2010-12-01T08:34:00Z,United Kingdom,536367,22310,IVORY KNITTED MUG COSY ,13047,6,1.65
2010-12-01T08:34:00Z,United Kingdom,536367,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,13047,6,4.25
2010-12-01T08:34:00Z,United Kingdom,536367,22623,BOX OF VINTAGE JIGSAW BLOCKS ,13047,3,4.95
2010-12-01T08:34:00Z,United Kingdom,536367,22622,BOX OF VINTAGE ALPHABET BLOCKS,13047,2,9.95
2010-12-01T08:34:00Z,United Kingdom,536367,21754,HOME BUILDING BLOCK WORD,13047,3,5.95
2010-12-01T08:34:00Z,United Kingdom,536367,21755,LOVE BUILDING BLOCK WORD,13047,3,5.95
2010-12-01T08:34:00Z,United Kingdom,536367,21777,RECIPE BOX WITH METAL HEART,13047,4,7.95
2010-12-01T08:34:00Z,United Kingdom,536367,48187,DOORMAT NEW ENGLAND,13047,4,7.95
2010-12-01T08:34:00Z,United Kingdom,536368,22960,JAM MAKING SET WITH JARS,13047,6,4.25
2010-12-01T08:34:00Z,United Kingdom,536368,22913,RED COAT RACK PARIS FASHION,13047,3,4.95
2010-12-01T08:34:00Z,United Kingdom,536368,22912,YELLOW COAT RACK PARIS FASHION,13047,3,4.95
2010-12-01T08:34:00Z,United Kingdom,536368,22914,BLUE COAT RACK PARIS FASHION,13047,3,4.95
2010-12-01T08:35:00Z,United Kingdom,536369,21756,BATH BUILDING BLOCK WORD,13047,3,5.95
2010-12-01T08:45:00Z,France,536370,22728,ALARM CLOCK BAKELIKE PINK,12583,24,3.75
2010-12-01T08:45:00Z,France,536370,22727,ALARM CLOCK BAKELIKE RED ,12583,24,3.75
2010-12-01T08:45:00Z,France,536370,22726,ALARM CLOCK BAKELIKE GREEN,12583,12,3.75
2010-12-01T08:45:00Z,France,536370,21724,PANDA AND BUNNIES STICKER SHEET,12583,12,0.85
2010-12-01T08:45:00Z,France,536370,21883,STARS GIFT TAPE ,12583,24,0.65
2010-12-01T08:45:00Z,France,536370,10002,INFLATABLE POLITICAL GLOBE ,12583,48,0.85
2010-12-01T08:45:00Z,France,536370,21791,VINTAGE HEADS AND TAILS CARD GAME ,12583,24,1.25
2010-12-01T08:45:00Z,France,536370,21035,SET/2 RED RETROSPOT TEA TOWELS ,12583,18,2.95
2010-12-01T08:45:00Z,France,536370,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,12583,24,2.95
2010-12-01T08:45:00Z,France,536370,22629,SPACEBOY LUNCH BOX ,12583,24,1.95
2010-12-01T08:45:00Z,France,536370,22659,LUNCH BOX I LOVE LONDON,12583,24,1.95
2010-12-01T08:45:00Z,France,536370,22631,CIRCUS PARADE LUNCH BOX ,12583,24,1.95
2010-12-01T08:45:00Z,France,536370,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,12583,20,0.85
2010-12-01T08:45:00Z,France,536370,21731,RED TOADSTOOL LED NIGHT LIGHT,12583,24,1.65
2010-12-01T08:45:00Z,France,536370,22900, SET 2 TEA TOWELS I LOVE LONDON ,12583,24,2.95
2010-12-01T08:45:00Z,France,536370,21913,VINTAGE SEASIDE JIGSAW PUZZLES,12583,12,3.75
2010-12-01T08:45:00Z,France,536370,22540,MINI JIGSAW CIRCUS PARADE ,12583,24,0.42
